it,sampling_method,dataset,rotulo,loss_strategy,size,Macro F1
2,Length,airbnb,Length,batl,5000,12.91478617826562
2,Length,yelp,Length,batl,5000,11.125059101339852
2,Length,airbnb,Length,batl,5000,14.305163552450033
2,Length,yelp,Length,batl,5000,13.044348468118114
2,Length,airbnb,Length,batl,5000,12.470043450792788
2,Length,yelp,Length,batl,5000,10.068552418116157
2,Length,airbnb,Length,batl,5000,14.12771340378323
2,Length,yelp,Length,batl,5000,12.329881010845748
3,Length,airbnb,Length,batl,5000,13.088075320793019
3,Length,yelp,Length,batl,5000,11.7643965420731
3,Length,airbnb,Length,batl,5000,13.785431841776083
3,Length,yelp,Length,batl,5000,12.782114647395872
3,Length,airbnb,Length,batl,5000,12.960707646622831
3,Length,yelp,Length,batl,5000,11.762033022819523
3,Length,airbnb,Length,batl,5000,14.79659679870813
3,Length,yelp,Length,batl,5000,10.616974378081196
3,Length,airbnb,Length,batl,5000,12.563982403914999
3,Length,yelp,Length,batl,5000,13.197877731400379
3,Length,airbnb,Length,batl,5000,10.304844957855012
3,Length,yelp,Length,batl,5000,11.285677227160065
4,Length,airbnb,Length,batl,5000,10.236041987126786
4,Length,yelp,Length,batl,5000,11.483942224498728
4,Length,airbnb,Length,batl,5000,10.377950825412979
4,Length,yelp,Length,batl,5000,14.113820473480867
